Розмір порції,,,,,,,,,,,,,,
277.2222222,,,,,,,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат з фундуком,730,22.1,91.92,37,8.39,34.91,14.05,,,,,,,
,,,,,,,,,,,,,,
,1,50,50,100,85,30,6,50,15,7,50,50,,
,,морква,баклажан,горошок,тофу,цибуля,часник,томат,шпинат,олія,кокосове молоко,вода,,
,,50,50,100,85,30,6,50,15,7,50,50,,
Грамів,493,50,50,100,85,30,6,50,15,7,50,50,,
Білків,16.9376,0.5,0.5,3.1,11.05,0.33,0.3726,0.5,0.435,0,0.15,0,,
Жирів,14.856,0.1,0,0.2,5.95,0.03,0.018,0.1,0,6.958,1.5,0,,
Вуглеводів,28.11,3.67,3,11.4,0,2.7,1.5,1.8,0.54,0,3.5,0,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Каррі,493,16.9376,14.856,28.11,9.52,8.35,15.81,,,,,,,
,,,,,,,,,,,,,,
,1,50,50,250,160,,,,,,,,,
,,кінза,петрушка,квасоля червона,селера,цибуля,базилік,стручковий перець,часник,томат,,,,
,,50,50,250,160,200,50,10,30,140,,,,
Грамів,1315,50,50,625,160,200,50,10,30,140,,,,
Білків,66.618,1.05,1.5,55.375,1.44,2.2,1.6,0.19,1.863,1.4,,,,
Жирів,5.705,0.25,0.5,3.875,0.16,0.2,0.3,0.05,0.09,0.28,,,,
Вуглеводів,189.275,0.95,3,149.175,3.36,18,1.35,0.9,7.5,5.04,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Лобіо,1315,66.618,5.705,189.275,14.04,1.2,39.9,,,,,,,
,1,200,100,50,5,,,,,,,,,
,,тофу,томат,хліб,олія,,,,,,,,,
,,200,100,50,5,,,,,,,,,
Грамів,355,200,100,50,5,,,,,,,,,
Білків,32,26,1,5,0,,,,,,,,,
Жирів,33.17,14,0.2,14,4.97,,,,,,,,,
Вуглеводів,11.6,0,3.6,8,0,,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Скрембл,355,32,33.17,11.6,24.99,25.9,9.06,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1,500,200,150,250,,,,,,,,,
,,капуста,морква,нут,печериці,вода,олія,,,,,,,
,,500,200,150,250,100,60,,,,,,,
Грамів,1485,500,200,375,250,100,60,,,,,,,
Білків,42.475,5,2,28.5,6.975,0,0,,,,,,,
Жирів,70.64,1,0.4,9,0.6,0,59.64,,,,,,,
Вуглеводів,138.68,25,14.68,91.5,7.5,0,0,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Тушкована капуста,1485,42.475,70.64,138.68,7.93,13.19,25.89,,,,,,,
,,,,,,,,,,,,,,
,1,200,450,300,200,100,125,140,30,30,500,9,75,
,,квасоля біла,картопля,томатний сік,буряк,морква,цибуля,перець,олія,сік лимона,капуста,часник,зелень,вода
,,200,450,300,200,100,125,140,30,30,500,9,75,1500
Грамів,3959,500,450,300,200,100,125,140,30,30,500,9,75,1500
Білків,70.1419,44.3,9,3,3.2,1,1.375,1.4,0,0.108,5,0.5589,1.2,0
Жирів,36.712,3.1,0.9,0.3,0.4,0.2,0.125,0.42,29.82,0.045,1,0.027,0.375,0
Вуглеводів,292.805,119.34,85.5,10.8,20,7.34,11.25,8.4,0,1.8,25,2.25,1.125,0
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Борщ,3959,70.1419,36.712,292.805,4.91,2.57,20.5,,,,,,,
